Scenario,EBR_mean,EBR_std,PBR_mean,PBR_std,MBR_mean,MBR_std
Scenario 1,0.088867374,0.09911759,0.8736539,0.10646722,0.03747894,0.033366676
Scenario 2,0.00034434235,0.00026299572,0.9517497,0.053485807,0.047906034,0.053445578
Scenario 3,0.25583643,0.20658343,0.5011544,0.20413797,0.24300928,0.14172967
Scenario 4,0.0025014125,0.0018730706,0.800135,0.12051034,0.19736348,0.12021702
Scenario 5,0.1557068,0.16231568,0.8044411,0.16543533,0.039852098,0.037511468
Scenario 6,0.0006572569,0.00051264546,0.9484328,0.04602736,0.050909746,0.045936134
Scenario 7,0.19366966,0.17634727,0.73273104,0.17292725,0.07359939,0.052407406
Scenario 8,0.077248216,0.0735778,0.7872138,0.11416875,0.13553801,0.08602596
Scenario 9,0.0552513,0.0641667,0.8242916,0.09671518,0.12045698,0.072857864
Scenario 10,0.0012514251,0.0009369429,0.7680478,0.13253845,0.23070087,0.13241763
Scenario 11,0.37555593,0.11404779,0.6173403,0.11354614,0.0071036546,0.00595175
Scenario 12,0.0018926263,0.0006236892,0.7493935,0.09443541,0.24871394,0.09425714
Scenario 13,0.26208627,0.19799681,0.72256774,0.19586883,0.015346114,0.008363103
Scenario 14,0.08321824,0.059897006,0.9108351,0.060595438,0.0059463037,0.002810441
Scenario 15,0.10349654,0.094125554,0.8300208,0.10316039,0.06648265,0.044073716
Scenario 16,0.00066799513,0.00042870795,0.828827,0.10626348,0.17050512,0.10618254
Scenario 17,0.0552513,0.0641667,0.8242916,0.09671518,0.12045698,0.072857864
Scenario 18,0.0012514251,0.0009369429,0.7680478,0.13253845,0.23070087,0.13241763
